,topic,link,headline
10,Newsx,https://news.google.com/read/CBMiugJBVV95cUxPdjNHSkIwaFpjSk56TjFEa3pZZlNzc1JoaU52VE9VelZIbFVIRkhLUDdPOXNqekZGbEtDUy16NENwN2FsVFM3XzFWMy1EMlRCUS11TkJfbm1iT21kNTF0cHZWUU5GOVdPQXE5ZldSRVNDbWVZeWhkdjdQeGlnVVlOMmMwWFVrU1pIYWxpRzlraDd5eXVwU3FPZkJObFhQZWZ4NEdoX0g2amt0bHdVYXZEYXJsZV9VakhtVDJvZEtHVFZnT2JSdl94dWVtMUxIdExvMmNXc2Z4akV1VFExZlp0YVpFNUYxQ0RCSjdiaUhaSmxZMjB5RmpVZ2oySGtVTDcwdHNOakozS0FkOWpVMGFMMHk4YzNDb0xUY0ZOcUpaWDJYcHdaV2pVa1Y5RTJZV1BTMDNMTjYzSEJxdw?hl=en-IN&gl=IN&ceid=IN%3Aen,'Jigra' Box Office Report Day 1: Alia Bhatt's Film Makes A Decent Impact
11,Newsx,https://news.google.com/read/CBMixwJBVV95cUxQU0pkV3hERUVmcXB4cS1TQllCZzg0c2w3a3NIWWxBNjN2ZDRJWnY5RlpPeHBWU1BzdjEzSC1pcG91VXFHMm9fZHktQ1REQWxoWFRCYmZqQms3SHNCTWtWMWY0X2ZIVGhNdTZSRmhzbGdKUFBINXZadVNCTHRBRFVSVGstenNsSGNjSmFCRTlRWWE5a0lYQzhOWDVvdHoxbTlxLWpReEpxaG4zQkhvekFXVzNkQkp0OFZQaGFlRXBCeTNLVmJDSHl0Vm5MOEZaODRtQlRJbVNpX3c1QlAwNUdOdnlBbzdDRjRLZmdUYmh5ZTJkVUQ5dXBoZUFMYXV5OURXLVU3UnFLcTBKWDEwS0xUMW5UbXY0M090Z0hrak9pY1lKS0NKN0hMMlpOWTZFY09QS2xHUWQ4bWM0MGhtazJzR3RKelRLTlU?hl=en-IN&gl=IN&ceid=IN%3Aen,Maharashtra Assembly Elections: Veteran Actor Sayaji Shinde Joins Ajit Pawar Led NCP
12,Maharashtra,https://news.google.com/read/CBMirgNBVV95cUxPU2xZSVBCX0RGanJ2WVYyX3VtUDZTcUNNcHFPdnhobHZGRGFSenh6d1NiTEw5dDFRUWN0ekNrRHVhdjZIcDF4amVGUEE0NGNBQ18zR3pkU25PbW1MbV9Cc0RIVzB0YThSQnEtMW9mV0xEdFhEOWdqWXloVGJPX2Y4azk3QnZQOXdKZ3ZueXdOUVlsUTJ0LU1QMW9iaV9hcHBFeV9tVXY4QmNlbFZpUGpkdWFhX2RTRm1MS1E0cmptM1FNelh3TEluWTgzSFJvR0xrRE04RW5zZlFNbENoOEFTcXp4Vmx6dWVlRktod1Y3U080UmNOOVh6X3YyaG9tUGtxcjdQdEtmc2w5dnlKVmZ6OGRrNTh4b0ZQT0daU3dfX1Byc011WG5BYldyY01HdGJSTFZsTjRCSG1Qemw1bkdLWFI0V2pxTVVBZUtxcXRGclJwWF9Qc00xSDVPT2wzTW56VW1VMVYwbDBSYzY5ajdkcEx0bWhtYVpiNHJKNVNTM1hOakU5WTB1WHZOakFCOERMNHpJc21fTk1yeGM5QjZBNmFWTW81ZnR6dVJhYnRn?hl=en-IN&gl=IN&ceid=IN%3Aen,NCP leader Baba Siddique dies after being shot at in Mumbai; ...
13,Tamil Nadu,https://news.google.com/read/CBMijgNBVV95cUxOZHl2WVU5Wk8xSy1neHBLUmdYVTB5RUNfQXh0TWU1aXVYM1AyWHFRRGR3UnhwdGx3T1J6S0dEYzhmVTI3MWVtTE1kaFNpVWYyelVBZTVMdENBVmk1R28xWTl1Y1lrdERkM1RlREcxOHNReklTSEJJLXdHVmxFZENUSE9sNUVESGdzY1BCRmlMbXdDN2p0NHBpOFFGUVdHOFhubXVPNnBOcy1mZGdpTndyOUs1cHZEYjlJRlktNkJqLUx1QjB6QVBabUlMY2tmUy03VFhtUnlNcEVEUm5xbEVoOEVZdWZhQnNqUWZuWmNZamdSQzRhbHFXTWZXWllJcDE3MmNUazE2ZVZGYmtHelA2MEV6VGtyend3RmJtdTZzWW9LWkpzdjljNHRGUHZPQ1l0MTNjZVZuWFhsRTdOZU0wS3F5SHlObjJXd3hqTTZSV0lVZWtwREFFRmppMFJQUGlSaVEwUnZuaVIzNnk1SklrSEduYW85MGFURXc2VFVzYng0UWJwc3pNYWpJaktRUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,NIA examines sabotage angle in Tamil Nadu train derailment
14,World,https://news.google.com/read/CBMiuANBVV95cUxPaEhyZC1QaDVlc0JoZmdCWU5ZVGhSV1BBcGlhYUliVzdnQmNDRGlOeEJVd3gxMzFwM0xieklQc0hNbU9ma3pjb09CWTJ3Tkc0NXBobE5Tam9uZ2g3Unh6Z1dfdnFVSld4Z0FGai1wMWVXWDZYWXo4MWxCSW9YOVF4cExNajBSZjU0MjhHT1lOUVJUMXFJWTU5dUY5cmxXSWNvcXB6UWM3ZVNtLU9DWmxBbVZzVDNFeGFRbC1tRXRUNGdpMHJzMW9sTlVjNHRTbUU4OVNKRlF3Y3FUelZzVEx6V0hzNzRFV2ZISTRGZ3gzUHhoYWZmY3dwYURZRGpkaG1pdllvc2pQZTZuOXBvbHdyUmlXSnpzM0dtR1Bmd255bXNnZDY4aUctbHRLTUt4RGhjbjNSTDJYX0NfYWhLNHpTWDU5czlRemtjRDBCd2ZOQ3phVHdHanB0WEpsY1NaemlIMHBRZGEzVWRSbHdLc1FZbnRRaVhBMm94bFhHRWpnVXN5YldpN3NaUWtTcVhJdjRBdS1Kc2llbjNnZXlNOUR0NVVuY3ZPRmlwVXVDSzV3NTJSUVZ2THBONg?hl=en-IN&gl=IN&ceid=IN%3Aen,West Asia Conflict LIVE | 320 projectiles fired into Israel f...
15,Sports > Cricket,https://news.google.com/read/CBMimANBVV95cUxPRWZndC1tckNKTG1TdXI2M1NrcGhhc0d2VmpjVS1YUV9KMnNIakJCZlYwN3JTTUI4c2ZOWFFLX0hNV2pQMFNab1NCNE9uNzR1OGJPdURLT3dMZ0lVNHZGT0xFZXRLdTllcFl1Q0VjM0dVM1dXa3NZWFk4ZnBOVHNteEJsdTBGdFBvNTdjWV9ibUpmOWtGM3NGMEkwc1l5TkRrcmdFUENKTGNFNEdyYkVZaURkaTZpNFJxeWQtX3pON0Fsdm5lWWxTUER0WkVkNURFVVZMRERYOVh6bXlEMVQwZFM5M054TXJzRU1qZVVBV1JpcThYWUR0YTlBSTJaeGtyY0hRMXF3WGxySTloTHcxWURoN0pWUVkwcGpPTmx4UmhQblF2WWVuQVNyelVwTzhyanNQVE5Jc0Zhd2daY0w1a3RBNUk0ckUwWXFLbW1rTUFRankwa2ZZU1BmbG5iel9kZGZKejhHVDk4SHh3VXBtVUl1QnBqUmFZVEZ1MmVqemowNXFBY19fVk1CT3E5X0tOX3JFcmE2aHg?hl=en-IN&gl=IN&ceid=IN%3Aen,Sanju Samson breaks Rohit Sharma's all-time record
16,Maharashtra,https://news.google.com/read/CBMirgNBVV95cUxOa2hyclNZVWFzdVdFa0dfSG4wbmdwTE9XcEFhQnV5M2w2Yy1jMmhwQkxod0tjYi1COEVrSEZvT0QyUnAycjk2ZUpmZjdvRjdLX3EwRl82MEdVOEFNYVNDWFkxbUtxTE5EUjgwUURXSEE4MVhsTmZFWlMxbzk1MGRsNlROYWFMNWJOSWN0cEtfeEg2TGZrbmZiWU5BcWRNTzczMlhfVHdPMFFKcDhfWlo3SFlrUWFLcUlQc25BeVZxS092bm44dVFtZUhGYXM0TFVIb2E0NHBJSUtQUm1GMkpBdllDV0xGWnhyaFJrMWh4c1FVUi0wMUdIdVRPaTRhbE03SVpVUm5ORy1raThVYms2VWxfLVNvanhBTTMtMk8xVkY4aHE5SDlVNUYxQnA0OVFNamR6U0N4RzFZSVNoSkhhaDk5TWptNUlER08wblFMOVI4UDZISmZtRFNkeHdJVzhhNEJlX0x3R0dEd3hHX3FVUWxQWlNlZE5Mcm4xbUpobE94RU5Yb200dzJDeHJiaHEwWFFpdl94ci1HYzFac0dVX3p6TTVzM2ZuSm1xTTZB?hl=en-IN&gl=IN&ceid=IN%3Aen,Baba Siddique shot dead by gunmen in Mumbai
17,Maharashtra,https://news.google.com/read/CBMi4ANBVV95cUxQMnRBOVRQQk9wZmFReGFyb2pLLVMtbTJKNkdOYzRZRWdRcHZhVWFTeWlEcURRRXMxQ1dZY0piMnA0Qk8tSU5nbml0UC0zdTFWdXhES0NCRS1OeXZBempmVEtVNHdic2ZMcWpZbHZuQTBRLUY4SjRuUWVVNnQ3QWw2cldLaDlyNldLamRSaW5vamZrazI5YUlNQXV4RGZoVHRjVkd1bmVWcGtUYzhWTnN0TS14WXRXcXQ5d3JiYjlwS016UUFDMUNuOGZNczU1ank0blVxRGJsNDdFd3htcVNkeWtZSGx0enhwWXR6ZnEyT3ZZTnphWERCamdoRjRoeHc4MU5pQUJhMGxlZGc3bFhkd1I2TmZqYzFSSzk3X2Vqc3FVQ083bjhoMV9lemhybVJqdFk1XzhtRnA5em5uS3M2cFY4cnVzTG5JdEpDRVczYUNKNGNfRTVSX0E4SjcyZnUyZ1FiN21LSGh5cENjV2xXblB4ZWV1U1k0Yzd6cmJ4QWp3SnR5WkRUNVUyZmMzQmtxdDh0aWVFenQ1eFBWV3hESHFMU09vUy1URE1kU0xVVW1XbGxEMGhIX3dDTkg5MHFsYzI2TXhtdk9va2RGOV8xM1ZxWDFscVowaklnYXZWYTc?hl=en-IN&gl=IN&ceid=IN%3Aen,CM Shinde's first reaction on Baba Siddique's killing
18,"External affairs, defence news",https://news.google.com/read/CBMixgVBVV95cUxQVTRHcjBXZU56eEk5ckRVTkxHSFpIUmtOeXg5NUEwU2g2eldNbWFoVk93cG9WeFZYY3NzVHU1LXMzNTYyRGx6czdyQUVUWXlxVF9mdXhqdUV4SHY1MHhBX2JYcm1qSG1KaTgwN0RlY3VseHJ1OVg5cEJyQnNEeXhKNDJjYWdyNzBWX0o2bWktNExYZEMwV2FhbUFRQk9PSEtsU2p5ZWZuazFjVmhVdjVaemJ0aXZVams3WEpFT2NNanJxbHFBTmg4QnlrZ0tGbWdUUzdINXRGTXEwUXZyb1NucVdJZm9BMFphUHYxZHF6TmprVFQ2WU5SRUo1ZzRTLTBIZjFkYmd3NXR5alFxWFc3ZVltSWs2XzRPTTI3eThlcjYwclk1a3NFcHFLRi02Q2NvNm1wV3g4M2JtVEYyVTVNSGVLNjNrRk53QTBjSGt6QzdiU2xiendFLWpDOFdtanI0bVNvMUd4bE1vMlhnc1g1V2FYUXRYUV9TWl96S0RpY0E1MnhuV1J3QmhDVGhsUFpwRUdXRkxkbWFUcTNxMDU4M1I5Vi1mV2FNRkVqWldwMzFENW53b0RXOWxWeEpoZjZ5S0xjQ1NndmdWV3JDY1FHNEEzX0YwbTJENHlvUVY2S2VZLXRvMGViTDQ2bGoweWlJSTZBbHpNQ1BOT1FkLWdGM2VNZHlCdlducW9NamNaSXVmQkRyMktCY3V3QmVqMUNBaUNveUJNUnhtZ1kwblBqWWJJRS03SlVjTVFjenRlUVR4SEFuVFJoQjExV055Wmg4S3M1anBrZzFVNDNvOGdOOG41MlNwU3J4Z1JiUXJYdXFsUmNsbUhrYjdZU0VSY242cXU5d2xEZzZyMHFVLWFpeWJCWDdoZTlxZWdsR3V1N3lFM1VtNHFKMDd4cG93RmliVlBSNHhtdmROYjduTC1GZFZvTnRxdw?hl=en-IN&gl=IN&ceid=IN%3Aen,India cautiously optimistic for border talks with China: Rajnath
19,India News,https://news.google.com/read/CBMiogVBVV95cUxNQ2wwN2dRU2hPRmpOaHFKajFhXzlSVXhyR0RmOU1TdjBXX0hhaFlfbU5XLWJ4ODRHdnZMOXpoZXlIYVdQa1NYay1VRGZvVFQzVG5KOW5CdnhyTWJKRkEyYzhGb25NWFNWUjNQT3ZOSXB3OWMteXYzRXUwQlhybGpzRGwwYVBkajZId21WRHBINTN3cHZLS25uSHR3WUlyNHhWeTRabnVueHEtMmpVTmZiZmNua3VUdjN0T0dqdUFGRzE1RC1nTkMwZFpIQlJyWGhFdHI3NGxXX3ZFU0tHNVRXWjR5SzFLVlpaYzFKTmlxaEpxalptU0szbXNYSmdxMVc3Nmd5angzQVRsVXdtanlMbnl4YmJyUkFJYUJLM2hTb215ZVFhV1B2dlRZeG1CY3lqeElJcm5USEZmYnU0eHRjRk54Y0plNlJUSl9NX3psMzBXYXBjd2tIWGY0UTFoN3prWlRzT3FIcl8yaXFRU0cyNmZXOUlnN2JubFBFdG9oLW1VNlRMeFVlQUFUYnVmbWVEamtzUzdoTk9hMVNZdk40UmFCSmQwMzFWNzFidmtQTFBUN2g4RnR5TXBCZ0doX2l3T1hlTlM1RWFGM2NSSjFjVDdKM3NvY2JUOWpxSzNjVEl3NThpd1pjVFFJakxjY2RnTWV3M0NnSHBHdy0tQUh6Y2poS3ZqYVlFM0VKQ3RVWkdUMGp1ak1ncXVGNUU0OENZSWxHa0E3NWFENF9aZHhzM3FERGFqRFJXa1hkTjJGLW9hZ1JFZXlaRjd5OU0tbFF1YmVGcGpDU19ueXVsUklMQlhKOXBORDQ4MktibXRTckVURjNmV2pRckpXTkp5VFZ5SElpTlZveHBLc3VqTzUteS1tM3FNQWlPSXFXNjlwWGs4QQ?hl=en-IN&gl=IN&ceid=IN%3Aen,"New Haryana govt to be sworn in on Oct 17, PM Modi to attend"
